Brand,SKU,Collection,Product,Variant,Variant SKU,COG,Size,Size SKU,EAN,UPC,Quantity,Cost price,
VARG,AW102-M,AW21,M Blanktjärn Merino Wool Pant,Espresso black,-ESP,3000.00,XL,-6,7340119343296,,12,250,
VARG,AW102-M,AW21,M Blanktjärn Merino Wool Pant,INK BLUE,-INK,0.00,S,-3,,,0,#DIV/0!,
VARG,AW102-M,AW21,M Blanktjärn Merino Wool Pant,INK BLUE,-INK,0.00,M,-4,,,0,#DIV/0!,
VARG,AW102-M,AW21,M Blanktjärn Merino Wool Pant,INK BLUE,-INK,0.00,L,-5,,,0,#DIV/0!,
VARG,AW102-M,AW21,M Blanktjärn Merino Wool Pant,INK BLUE,-INK,0.00,XL,-6,,,0,#DIV/0!,
VARG,VA0280,,M Fjällnäs Baselayer Pant,Anthracite Grey,003,0.00,S,03,7340119396681,,0,#DIV/0!,
VARG,VA0280,,M Fjällnäs Baselayer Pant,Anthracite Grey,003,0.00,M,04,7340119396698,,0,#DIV/0!,
VARG,VA0280,,M Fjällnäs Baselayer Pant,Anthracite Grey,003,0.00,L,05,7340119396704,,0,#DIV/0!,
VARG,VA0280,,M Fjällnäs Baselayer Pant,Anthracite Grey,003,0.00,XL,06,7340119396711,,0,#DIV/0!,
VARG,VA0280,,M Fjällnäs Baselayer Pant,Anthracite Grey,003,0.00,XXL,07,7340119396728,,0,#DIV/0!,
VARG,VA0280,,M Fjällnäs Baselayer Pant,Dark Emerald Green,002,3635.80,S,03,7340119382981,,14,259.7,
VARG,VA0280,,M Fjällnäs Baselayer Pant,Dark Emerald Green,002,7011.90,M,04,7340119382998,,27,259.7,
VARG,VA0280,,M Fjällnäs Baselayer Pant,Dark Emerald Green,002,12205.90,L,05,7340119383001,,47,259.7,
VARG,VA0280,,M Fjällnäs Baselayer Pant,Dark Emerald Green,002,6232.80,XL,06,7340119383018,,24,259.7,
VARG,VA0280,,M Fjällnäs Baselayer Pant,Dark Emerald Green,002,779.10,XXL,07,7340119383025,,3,259.7,
VARG,VA0279,,M Fjällnäs Baselayer Top,Anthracite Grey,003,0.00,S,03,7340119396445,,0,#DIV/0!,
VARG,VA0279,,M Fjällnäs Baselayer Top,Anthracite Grey,003,0.00,M,04,7340119396452,,0,#DIV/0!,
VARG,VA0279,,M Fjällnäs Baselayer Top,Anthracite Grey,003,0.00,L,05,7340119396469,,0,#DIV/0!,
VARG,VA0279,,M Fjällnäs Baselayer Top,Anthracite Grey,003,0.00,XL,06,7340119396476,,0,#DIV/0!,
VARG,VA0279,,M Fjällnäs Baselayer Top,Anthracite Grey,003,0.00,XXL,07,7340119396483,,0,#DIV/0!,
VARG,VA0279,,M Fjällnäs Baselayer Top,Dark Emerald Green,002,2366.40,S,03,7340119382936,,8,295.8,
VARG,VA0279,,M Fjällnäs Baselayer Top,Dark Emerald Green,002,6507.60,M,04,7340119382943,,22,295.8,
VARG,VA0279,,M Fjällnäs Baselayer Top,Dark Emerald Green,002,11536.20,L,05,7340119382950,,39,295.8,
VARG,VA0279,,M Fjällnäs Baselayer Top,Dark Emerald Green,002,6211.80,XL,06,7340119382967,,21,295.8,
VARG,VA0279,,M Fjällnäs Baselayer Top,Dark Emerald Green,002,887.40,XXL,07,7340119382974,,3,295.8,
VARG,VA0290,,M Koltjärn Baselayer Pant,Ink Blue,003,5661.00,S,03,7340119386835,,37,153,
VARG,VA0290,,M Koltjärn Baselayer Pant,Ink Blue,003,9792.00,M,04,7340119386842,,64,153,
VARG,VA0290,,M Koltjärn Baselayer Pant,Ink Blue,003,12393.00,L,05,7340119386859,,81,153,
VARG,VA0290,,M Koltjärn Baselayer Pant,Ink Blue,003,5508.00,XL,06,7340119386866,,36,153,
VARG,VA0290,,M Koltjärn Baselayer Pant,Ink Blue,003,765.00,XXL,07,7340119386873,,5,153,
VARG,VA0290,,M Koltjärn Baselayer Pant,Java Brown,004,0.00,S,03,7340119396926,,0,#DIV/0!,
VARG,VA0290,,M Koltjärn Baselayer Pant,Java Brown,004,0.00,M,04,7340119396933,,0,#DIV/0!,
VARG,VA0290,,M Koltjärn Baselayer Pant,Java Brown,004,0.00,L,05,7340119396940,,0,#DIV/0!,
VARG,VA0290,,M Koltjärn Baselayer Pant,Java Brown,004,0.00,XL,06,7340119396957,,0,#DIV/0!,
VARG,VA0290,,M Koltjärn Baselayer Pant,Java Brown,004,0.00,XXL,07,7340119396964,,0,#DIV/0!,
